year,party_code,uo_code,delta_mkr,source_url,source_section
2026,S,UO01,-449,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO02,50,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO03,75,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO04,245,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO05,10,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO06,0,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO07,1000,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO08,-1425,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO09,5686,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO10,780,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO11,0,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO12,5127,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO13,50,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO14,2805,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO15,804,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO16,5070,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO17,748.536,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO18,684.5,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO19,120,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO20,1135,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO21,100,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO22,1725,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO23,100,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO24,55,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO25,2730,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO26,0,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,S,UO27,0,https://data.riksdagen.se/fil/3ABE7735-F127-4A44-AA5D-F3080BEB47E4,"BILAGA 2 Förslag till utgiftsramar för 2026, Tusental kronor (mot. 2025/26:3551)"
2026,C,UO01,-1288.6,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO02,-6.5,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO03,-436.7,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO04,49.55,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO05,-2,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO06,182,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO07,1089,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO08,-1603.6,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO09,-440.007,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO10,123.8,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO11,-4.4,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO12,-2500,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO13,293.6,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO14,-15870.1,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
2026,C,UO15,17.3,https://data.riksdagen.se/fil/A210288E-0C9D-4EC8-914F-02FFCE0E7C5B,"Tabell 4 Förslag till utgiftsramar 2026, Tusental kronor (mot. 2025/26:3811)"
